"Field","TP","FP","TN","FN","Accuracy","Precision","Recall","Balanced Acc."
"realty_address__street_number","15","9","1","0","0.64","0.625","1.0","0.55"
"realty_address__street_name","12","11","1","1","0.52","0.5217391304347826","0.9230769230769231","0.5032051282051282"
"realty_address__zip_code","18","6","1","0","0.76","0.75","1.0","0.5714285714285714"
"realty_address__city","21","3","1","0","0.88","0.875","1.0","0.625"
"epc_before_renovations","11","6","5","3","0.64","0.6470588235294118","0.7857142857142857","0.6201298701298701"
"living_area_sqm","10","7","2","6","0.48","0.5882352941176471","0.625","0.4236111111111111"
"realty_type","17","5","1","2","0.72","0.7727272727272727","0.8947368421052632","0.5307017543859649"
"year_of_built","15","4","6","0","0.84","0.7894736842105263","1.0","0.8"
"epc_date","20","4","1","0","0.84","0.8333333333333334","1.0","0.6"
"epc_date_valid_until","20","3","2","0","0.88","0.8695652173913043","1.0","0.7"
