"Field","TP","FP","TN","FN","Accuracy","Precision","Recall","Balanced Acc."
"realty_address__street_number","2","3","6","0","0.7272727272727273","0.4","1.0","0.8333333333333333"
"realty_address__street_name","2","2","7","0","0.8181818181818182","0.5","1.0","0.8888888888888888"
"realty_address__zip_code","5","5","1","0","0.5454545454545454","0.5","1.0","0.5833333333333334"
"realty_address__city","7","4","0","0","0.6363636363636364","0.6363636363636364","1.0","0.5"
"epc_before_renovations","0","2","6","3","0.5454545454545454","0.0","0.0","0.375"
"living_area_sqm","4","7","0","0","0.36363636363636365","0.36363636363636365","1.0","0.5"
"realty_type","7","2","2","0","0.8181818181818182","0.7777777777777778","1.0","0.75"
"year_of_built","6","2","3","0","0.8181818181818182","0.75","1.0","0.8"
"surface","4","3","3","1","0.6363636363636364","0.5714285714285714","0.8","0.65"
"price","6","4","1","0","0.6363636363636364","0.6","1.0","0.6"
